Tweet,Message,Match,Polarity
27, RT     amp   1 most recommended university in the U S   Wall Street Journal  amp  Times Higher Education   amp   1 best college in Virginia,"recommended,best",positive
28, RT    Artificial intelligence  amp  Education  Planning education in the AI Era  Lead the leap  Final Report International conference,"intelligence,lead",positive
29, SPILL FEATURE  THE SYSTEM OF JUSTICE IS BROKEN   A CONVERSATION WITH DAVID CLAYTON THOMAS,broken,negative
30, RT    Some luck is involved   but so is early preparation and leadership  argues a Toronto epidemiologist  COVID19  Coronavirus,luck,positive
31, RT     Students are rightfully upset  this isn t the quarter we paid for  But higher education should never have been a comm,NONE,neutral
32, RT   squad  Enterprise blockchain firm Insolar with Canada s Toronto and Region Conservation Authority  TRCA  to pilot use cases for di,NONE,neutral
33, RT     cucet2020 Department of Physical Education and Sports  Central University of Haryana  Course offered M P Ed  Ph D  for de,NONE,neutral
34, RT    Proud to announce my commitment to further my education and play Division 1 hockey at Bentley University  Thanks to eve,"proud,commitment",positive
35, RT    IMPORTANT INFO FOR SUBS,important,positive
36, Livestream Events    Dance Gavin Dance   REBEL  Toronto  ON  Canada,NONE,neutral
37, RT    Ethiopian Airlines Evacuated 385 Americans from Lagos to Washington DC  with a B777 300 today 6th April     Ethiopian Airl,NONE,neutral
38, RT     Students are rightfully upset  this isn t the quarter we paid for  But higher education should never have been a comm,NONE,neutral
39, RT    We ought to draw a distinction between those conferred with university degrees  certificate of compliance  and those who,distinction,positive
40, RT    Their campuses largely empty  three Pittsburgh universities offer aid in pandemic fight   via,NONE,neutral
41, Home made tasty Gulab Jamuns    Anyone               toronto  torontofoodie  ontario  canada  gulabjamun,NONE,neutral
42, RT     Students are rightfully upset  this isn t the quarter we paid for  But higher education should never have been a comm,NONE,neutral
43, RT   75  Actually Prime Minister Trudeau   graduated from McGill University in 1994  and then the University of British Columbia i,NONE,neutral
44, It might have only been on one station in Canada  the CBC s Toronto station,NONE,neutral
45, RT     Students are rightfully upset  this isn t the quarter we paid for  But higher education should never have been a comm,NONE,neutral
46, RT    A man  26  died following an  interaction  with Peel Regional Police,died,negative
47, RT    Texas A amp M University system has 11 universities in Texas  Texas A amp M University Commerce is the third largest in the system  I,NONE,neutral
48, Here is some free downloadable coloring art        wewillgetthroughthis  washyourhands,free,positive
49, RT        Simple   She has a Doctorate degree       Biden   In January 2007  at age 55  she received a Do,NONE,neutral
50, RT   75  Actually Prime Minister Trudeau   graduated from McGill University in 1994  and then the University of British Columbia i,NONE,neutral
51, RT   vanreg  I m excited to announce I have signed my letter of intent to further my education and play basketball at Dakota Wesleyan U,excited,positive
52, Where the cute Asians in Canada located at  Toronto  Vanocuver,cute,positive
53, RT    Texas A amp M University system has 11 universities in Texas  Texas A amp M University Commerce is the third largest in the system  I,NONE,neutral
54, RT    Our last Exec highlight is is our Events Chair from the fall semester     Katie graduated in December with her BSP,fall,negative
55, Hello sir I am Indian citizen n stuck in canada since 11 march my return flight was on 25 march but su,stuck,negative
56, RT    With so many new followers it seems another round of introductions are in order    I m Sierra  the designer and seamstres,NONE,neutral
57, RT   timbs    People are losing jobs  education  maybe university spots   worried about their families abroad  stuck indoor,"losing,worried,stuck",negative
58, The bloated university sector needs to be cut back  There are too many universities providing second rate degrees t,bloated,negative
59, RT    Government of Canada    has partnered with Philippine Airlines   for dedicated commercial flights from Manila to Va,dedicated,positive
60, The future of film education  a story in five tweets   crowdfunding  highered  university  college,NONE,neutral
61, RT    We ought to draw a distinction between those conferred with university degrees  certificate of compliance  and those who,distinction,positive
62, RT    The surgery was carried out in collaborations with doctors from the University of Toronto in Canada and Egerton University,NONE,neutral
63, RT    JUST IN    President Greg Fenves is leaving  UT for Emory University  according to multiple reports,NONE,neutral
64, RT    Texas A amp M University system has 11 universities in Texas  Texas A amp M University Commerce is the third largest in the system  I,NONE,neutral
65, RT     We are together  Stay strong Canada   About 100 000 face masks donated by the Confederation of Toronto Chinese Canadian Organi,strong,positive
66, RT    Texas A amp M University system has 11 universities in Texas  Texas A amp M University Commerce is the third largest in the system  I,NONE,neutral
67, RT                 Thank God for CANADA,thank,positive
68, Celebrating Dixon Grove teacher Ms  Liang who did a great job sharing her work and our collective vision for ensuri,"great,work",positive
69, RT    A man  26  died following an  interaction  with Peel Regional Police,died,negative
70, RT   squad  Enterprise blockchain firm Insolar with Canada s Toronto and Region Conservation Authority  TRCA  to pilot use cases for di,NONE,neutral
71, RT   miller3  After a n  conversation with   I m honored to receive an opportunity to further my education  amp  play divisi,honored,positive
72, RT    Texas A amp M University system has 11 universities in Texas  Texas A amp M University Commerce is the third largest in the system  I,NONE,neutral
73, RT    The surgery was carried out in collaborations with doctors from the University of Toronto in Canada and Egerton University,NONE,neutral
74, RT   cressy  The COVID 19 crisis is an opportunity to end homelessness  But as part of our broader economic recovery  we could also upzo,NONE,neutral
75, RT    The idea of Basic Income has come up again in Canada  My niece advocated for it and helped research it a few years back whe,"advocated,helped",positive
76, RT    Undeniably Beautiful     Fire station 312 in the Yorkville area of Toronto is beautiful in the right light isn t it,"beautiful,right",positive
77, RT    University of St  Thomas offers empty residence hall room to hospitals,NONE,neutral
78, RT    This Thursday marks the anniversary of the Battle of Vimy Ridge  Help students understand Canada s most celebrated mil,celebrated,positive
79, RT    University of St  Thomas offers empty residence hall room to hospitals,NONE,neutral
80, RT    Attempt the Cyber Challenge and get an opportunity to win a partial scholarship to EC Council University  Click here to part,win,positive
81, Nursing Education Congress 2020 September 25 26 2020 Vancouver Canada For more details,NONE,neutral
82, RT   squad  Enterprise blockchain firm Insolar with Canada s Toronto and Region Conservation Authority  TRCA  to pilot use cases for di,NONE,neutral
83, 32 COVID 19 deaths in Toronto with 1301 cases  U K  PM Boris Johnson in ICU  3M will continue to send masks to Cana,NONE,neutral
84, RT    Lastly   Kierin Smith Ouwens from Toronto  Canada          3 year letterman          School record holder in 800  in   4x,NONE,neutral
85, RT    Yes yes  this would work    Education  HigherEducation  Digital  AI  ArtificialIntelligence  Robot  RemoteLearning  Co,work,positive
86, RT   75  Actually Prime Minister Trudeau   graduated from McGill University in 1994  and then the University of British Columbia i,NONE,neutral
87, A man  26  died following an  interaction  with Peel Regional Police,died,negative
88, Artificial intelligence  amp  Education  Planning education in the AI Era  Lead the leap  Final Report International co,"intelligence,lead",positive
89, Plan your tertiary education journey with the help of the friendly counsellors at Monash University Malaysia s Live,friendly,positive
90, RT   75  Actually Prime Minister Trudeau   graduated from McGill University in 1994  and then the University of British Columbia i,NONE,neutral
91, RT   squad  Enterprise blockchain firm Insolar with Canada s Toronto and Region Conservation Authority  TRCA  to pilot use cases for di,NONE,neutral
92, RT    Texas A amp M University system has 11 universities in Texas  Texas A amp M University Commerce is the third largest in the system  I,NONE,neutral
93, RT     Senior Spotlight  Gracie Chapman is the daughter of Jason and Sarah Chapman  Her favorite tennis memory is winning se,"favorite,winning",positive
94, Yale university is offering free classes y all let s get this education,free,positive
95, RT    Canadians needing financial help to ride out the COVID 29 crisis can apply for a new benefit starting today  The CERB  or Ca,NONE,neutral
96, RT   squad  Enterprise blockchain firm Insolar with Canada s Toronto and Region Conservation Authority  TRCA  to pilot use cases for di,NONE,neutral
97, Re Prime Minister Justin Trudeau s education  Trudeau attended Coll ge Jean de Br beuf  graduated f,NONE,neutral
98, RT    What you need to know about Ontario s at home learning program that launches today    ottnews  ottawa,NONE,neutral
99, RT   squad  Enterprise blockchain firm Insolar with Canada s Toronto and Region Conservation Authority  TRCA  to pilot use cases for di,NONE,neutral
100, RT     We are together  Stay strong Canada   About 100 000 face masks donated by the Confederation of Toronto Chinese Canadian Organi,strong,positive
101, The surgery was carried out in collaborations with doctors from the University of Toronto in Canada and Egerton Uni,NONE,neutral
102, SPILL MUSIC PREMIERE  MAYBELLEEN    THE CLOCK       premiere  musicpremiere  newmusicfriday,NONE,neutral
103, Please ask every University to develope LMS where lectures should be uploaded and students easily access these lect,NONE,neutral
104, RT    3 LOT The Balance Sheet National Business Education Quarterly magazine university 1957 1960 1961 print ads advertisements,NONE,neutral
105, cucet2020 Department of Physical Education and Sports  Central University of Haryana  Course offered M P Ed  Ph D,NONE,neutral
106, RT    Girl A s biological father was a reputable lawyer who earned his degree from a prestigious university settled in Tokyo  A,"reputable,prestigious",positive
107, RT    Some luck is involved   but so is early preparation and leadership  argues a Toronto epidemiologist  COVID19  Coronavirus,luck,positive
108, RT   75  Actually Prime Minister Trudeau   graduated from McGill University in 1994  and then the University of British Columbia i,NONE,neutral
109, RT   75  Actually Prime Minister Trudeau   graduated from McGill University in 1994  and then the University of British Columbia i,NONE,neutral
110, Right now I m living 5 doors down from a Paramedics station   I hear it all day and night    If an,right,positive
111, RT    Texas A amp M University system has 11 universities in Texas  Texas A amp M University Commerce is the third largest in the system  I,NONE,neutral
112, RT    Canadians needing financial help to ride out the COVID 29 crisis can apply for a new benefit starting today  The CERB  or Ca,NONE,neutral
113, RT    Texas A amp M University system has 11 universities in Texas  Texas A amp M University Commerce is the third largest in the system  I,NONE,neutral
114, RT    Extra ventilators arrive in Ontario hospital ICUs to aid COVID 19 patients   CBC News,NONE,neutral
115, RT    Texas A amp M University system has 11 universities in Texas  Texas A amp M University Commerce is the third largest in the system  I,NONE,neutral
116, RT   squad  Enterprise blockchain firm Insolar with Canada s Toronto and Region Conservation Authority  TRCA  to pilot use cases for di,NONE,neutral
117, RT    Canadians needing financial help to ride out the COVID 29 crisis can apply for a new benefit starting today  The CERB  or Ca,NONE,neutral
118, RT    Some luck is involved   but so is early preparation and leadership  argues a Toronto epidemiologist  COVID19  Coronavirus,luck,positive
119, RT    Texas A amp M University system has 11 universities in Texas  Texas A amp M University Commerce is the third largest in the system  I,NONE,neutral
120, RT     I m extremely blessed and excited to announce that I will be continuing my education and softball career at Nicholls Stat,excited,positive
121, Check us Out     Spotify  SoundCloud  hiphop  rap  Producer  artists  iTunes  USA  la  love,love,positive
122, RT    This Thursday marks the anniversary of the Battle of Vimy Ridge  Help students understand Canada s most celebrated mil,celebrated,positive
123, RT    I want to thank God  my family  and all the coaches trainers that have ever helped me  I will be continuing my education,"thank,helped",positive
124, Yes yes  this would work    Education  HigherEducation  Digital  AI  ArtificialIntelligence  Robot  RemoteLearning,work,positive
125, RT   75  Actually Prime Minister Trudeau   graduated from McGill University in 1994  and then the University of British Columbia i,NONE,neutral
126, RT    The UC has shown leadership by adapting admissions requirements    on the SAT ACT   The best choice is to just cu,best,positive
127, RT    MC  Five Toronto Star executives make 70 percent of projected media bailout money   The Post Millennial   News  Politics  Cultur,NONE,neutral
128, Bob Marley  Live At The Massey Hall  Toronto  Canada   Complete Concert    via,NONE,neutral
129, Milano   January 2007  at age 55  she received a Doctor of E,NONE,neutral
130, RT   shaat  The blockade threatens education 86 new schools need building 1 081 semesters needed to add 20 000 university graduates wh,NONE,neutral
131, RT    500000 masks coming to Ontario after shipment halted at American facility  Maybe Ontario  and all of Canada  would not,NONE,neutral
132, RT    3M says it will continue to send its coveted N95 respirators to Canada after reaching an agreement with the White House to im,NONE,neutral
133, Theory to practice  Dept  of Psychology  Mumbai Unive jumps on the bandwagon  offers online mental health support r,support,positive
134, RT    Canadians needing financial help to ride out the COVID 29 crisis can apply for a new benefit starting today  The CERB  or Ca,NONE,neutral
135, RT    Some luck is involved   but so is early preparation and leadership  argues a Toronto epidemiologist  COVID19  Coronavirus,luck,positive
136, RT    The idea of Basic Income has come up again in Canada  My niece advocated for it and helped research it a few years back whe,"advocated,helped",positive
137, Confirm your presence at this Webinar session  No need to travel anywhere and you can develop your connection and e,NONE,neutral
138, RT     We are together  Stay strong Canada   About 100 000 face masks donated by the Confederation of Toronto Chinese Canadian Organi,strong,positive
139, RT    Canadians needing financial help to ride out the COVID 29 crisis can apply for a new benefit starting today  The CERB  or Ca,NONE,neutral
140, 500000 masks coming to Ontario after shipment halted at American facility  Maybe Ontario  and all of Canada  would,NONE,neutral
141, RT    Universal basic income is the only way Canada will get though this  Millions of people have lost careers  Those jobs are,lost,negative
142, RT     Greetings and humble salutations  I am Allyson J  Brooks  a junior Elementary Education major from Terry   MS and I am vying t,humble,positive
143, RT    Texas A amp M University system has 11 universities in Texas  Texas A amp M University Commerce is the third largest in the system  I,NONE,neutral
144, s R amp B pop number  I Would   claims the blog s  songoftheweek hot spot      music  mustlisten,hot,positive
145, Azrieli Graduate School of Jewish Education and Administration Creates Innovative and Engaging Haggadah for Familie,"innovative,engaging",positive
146, Let us all do our part  Please practice  socialdistancing and  stayhome as much as you   Together we will get throu,NONE,neutral
147, RT    This Thursday marks the anniversary of the Battle of Vimy Ridge  Help students understand Canada s most celebrated mil,celebrated,positive
148, RT   Priore  I d like to wish a safe and successful  NationalStudentAthleteDay to all my guys  We have some of the best student athlet,"like,safe,successful,best",positive
149, I agree  mathematics education in North America can t really compare to the same in Asia  Assum,NONE,neutral
150, RT     We are together  Stay strong Canada   About 100 000 face masks donated by the Confederation of Toronto Chinese Canadian Organi,strong,positive
151, i just am in a constant state of disbelief  is this my reality  when i was in senior year sitting down in the road,disbelief,negative
152, RT    Here s how to apply,NONE,neutral
153, RT    Canadians needing financial help to ride out the COVID 29 crisis can apply for a new benefit starting today  The CERB  or Ca,NONE,neutral
154, RT    Excited to say that I have committed to Xavier University in NOLA to further my education and baseball career  I truly,excited,positive
155, RT   hann  JeongCheol filo AU   Jeonghan Yoon  education s dean  is being pestered by the University s President  Seungcheol Choi bec,NONE,neutral
156, Unbiased scientific logical recruitment  amp  course recommendation process    Mentoring until the student is employ,"unbiased,logical,recommendation",positive
157, RT    3M says it will continue to send its coveted N95 respirators to Canada after reaching an agreement with the White House to im,NONE,neutral
158, RT    Some luck is involved   but so is early preparation and leadership  argues a Toronto epidemiologist  COVID19  Coronavirus,luck,positive
159, RT   75  Actually Prime Minister Trudeau   graduated from McGill University in 1994  and then the University of British Columbia i,NONE,neutral
160, RT   Mom      ET My immediate thought,NONE,neutral
161, I m just jealous you re golfing  1  here in rural Canada  5hrs NE o,jealous,negative
162, RT     We are together  Stay strong Canada   About 100 000 face masks donated by the Confederation of Toronto Chinese Canadian Organi,strong,positive
163, RT    Texas A amp M University system has 11 universities in Texas  Texas A amp M University Commerce is the third largest in the system  I,NONE,neutral
164, Walmart Canada Will Close All Stores Starting Next Week But You Can Get Curbside Pickup,NONE,neutral
165, RT    A lack of education can be as deadly as smoking  according to research from New York University,"lack,deadly",negative
166, RT    Extra ventilators arrive in Ontario hospital ICUs to aid COVID 19 patients   CBC News,NONE,neutral
167, You need to believe to succeed   sportsquotes  selfbelief  Toronto  Canada  StayHomeCanada,succeed,positive
168, Executive Director   Project Canoe   Toronto   Canada Jobs,NONE,neutral
169, RT   75  Actually Prime Minister Trudeau   graduated from McGill University in 1994  and then the University of British Columbia i,NONE,neutral
170, Before last fall  I was an embarrassed Canadian who was looking forward to reuniting Canada,fall,negative
171, RT   75  Actually Prime Minister Trudeau   graduated from McGill University in 1994  and then the University of British Columbia i,NONE,neutral
172, RT   75  Actually Prime Minister Trudeau   graduated from McGill University in 1994  and then the University of British Columbia i,NONE,neutral
173, RT    WATCH LIVE  Premier Doug Ford s daily news conference on  COVID19 is due to start at 1pm,premier,positive
174, RT    Research Institute  17  UGC  University Grants Commission  18  NCERT  National Council of Educational Research and Training,NONE,neutral
175, RT   75  Actually Prime Minister Trudeau   graduated from McGill University in 1994  and then the University of British Columbia i,NONE,neutral
176, Massyr Ensemble at   Nowruz 2020      tarek ghriri guitarist  music  guitar  flamenca  Flamenco,NONE,neutral
177, RT    NEW  Extra ventilators arrive in Ontario hospital ICUs to aid  COVID19 patients    has learned,NONE,neutral
178, RT    Mayor John Tory says   We are doing everything we can as a municipal government to help residents during these tough times,tough,positive
179, RT    today i found out that dr  jill biden is not a medical doctor  and it s a phd in education  my world is shattering into pi,NONE,neutral
180, RT     I m extremely blessed and excited to announce that I will be continuing my education and softball career at Nicholls Stat,excited,positive
181, RT    Texas A amp M University system has 11 universities in Texas  Texas A amp M University Commerce is the third largest in the system  I,NONE,neutral
182, March  International leaving Canada  closing Toronto eateries,NONE,neutral
183, RT    PIA flight arrived from  Toronto  Canada    today  5 crew members of the flight have tested positive for Corona,positive,positive
184, RT   vanreg  I m excited to announce I have signed my letter of intent to further my education and play basketball at Dakota Wesleyan U,excited,positive
185, RT    This Thursday marks the anniversary of the Battle of Vimy Ridge  Help students understand Canada s most celebrated mil,celebrated,positive
186, RT   squad  Enterprise blockchain firm Insolar with Canada s Toronto and Region Conservation Authority  TRCA  to pilot use cases for di,NONE,neutral
187, RT    Ontario s police watchdog says Peel police were sent to an address in Brampton because of a domestic situation  After an in,NONE,neutral
188, Great story  and a very fine university  I d love to work in their Master of Science in,"great,fine,love,work,master",positive
189, RT    Texas A amp M University system has 11 universities in Texas  Texas A amp M University Commerce is the third largest in the system  I,NONE,neutral
190, RT    Canadians needing financial help to ride out the COVID 29 crisis can apply for a new benefit starting today  The CERB  or Ca,NONE,neutral
191, RT     UCDSB Director of Education Stephen Sliwa spoke with   today about what Phase 2 of distance learning looks in the UCDSB,NONE,neutral
192, RT    Mayor John Tory says   We are doing everything we can as a municipal government to help residents during these tough times,tough,positive
193, RT    Canadians needing financial help to ride out the COVID 29 crisis can apply for a new benefit starting today  The CERB  or Ca,NONE,neutral
194, RT    NEW  Extra ventilators arrive in Ontario hospital ICUs to aid  COVID19 patients    has learned,NONE,neutral
195, Hey look it  The Toronto Star works like the University of Alberta   universityofalberta,"works,like",positive
196, Lol says the Biden supporter  Biden s never had a real job and doesn t even know where he is half t,supporter,positive
197, FarmingCanadianStudents how about Canadian Highschool and University students work on farms now till Sept for goin,work,positive
198, Mayor John Tory says   We are doing everything we can as a municipal government to help residents during these toug,NONE,neutral
199, Air Canada  I m trying to know why you canceled my father s connexion from Toronto to Montreal  We paid,NONE,neutral
200, RT    From the very first signs that  COVID19 would arrive here in Ontario  we ve been hard at work with our frontline partn,NONE,neutral
201, RT    Excited to say that I have committed to Xavier University in NOLA to further my education and baseball career  I truly,excited,positive
202, RT    wall  After much consideration  I d like to announce my commitment to Zoom University to further my education  Thank you to everyo,"like,commitment,thank",positive
203, Statement By Education without Borders With Respect To The Covid 19 Pandemic,respect,positive
204, CBC News   Latest Canada  World  Entertainment and Business NewsHey   CBC    your report on BC virus is flattening,virus,negative
205, That would make sense  but I can t see it being done here  University is not as hard a,hard,negative
206, Christian is Christian  Luckily only 1  of us went to Protestantism  This that became Presbyterians,NONE,neutral
207, RT    From the very first signs that  COVID19 would arrive here in Ontario  we ve been hard at work with our frontline partn,NONE,neutral
208, RT   squad  Enterprise blockchain firm Insolar with Canada s Toronto and Region Conservation Authority  TRCA  to pilot use cases for di,NONE,neutral
209, RT    A lack of education can be as deadly as smoking  according to research from New York University,"lack,deadly",negative
210, Jurbe Joseph Molwus  Recurring ASUU strikes  agreements  government of Integrity and University education,NONE,neutral
211, Jurbe Joseph Molwus  Recurring ASUU strikes  agreements  government of Integrity and University education,NONE,neutral
212, Jurbe Joseph Molwus  Recurring ASUU strikes  agreements  government of Integrity and University education,NONE,neutral
213, Top story    miller3   After a n  conversation with   I m honored to receive an opportunity to f,"top,honored",positive
214, RT   75  Actually Prime Minister Trudeau   graduated from McGill University in 1994  and then the University of British Columbia i,NONE,neutral
215, RT   cressy  The COVID 19 crisis is an opportunity to end homelessness  But as part of our broader economic recovery  we could also upzo,NONE,neutral
216, They basically said we are  still receiving an education  as reasoning to not give us any tuition refun,NONE,neutral
217, PhysicalDistancing avoid  coronavirus  covid19    Canada  Toronto  Scarborough  Markham  Ajax  Brampton,NONE,neutral
218, I m not going to unfollow you over this but  ahem  TORONTO ARGOS         In the movie  Airplane   t,NONE,neutral
219, RT    Here are the finalists for the JHR CAJ Award for Human Rights Reporting    Melissa Ridgen  APTN   Samantha Beattie  HuffPost Canad,award,positive
220, RT    Some luck is involved   but so is early preparation and leadership  argues a Toronto epidemiologist  COVID19  Coronavirus,luck,positive
221, RT     I m extremely blessed and excited to announce that I will be continuing my education and softball career at Nicholls Stat,excited,positive
222, RT   rm  Ontario has only 1 week supply of  critical  protective equipment left  premier  DougFord says  The province has the lowest pe,"protective,premier",positive
223, RT    Texas A amp M University system has 11 universities in Texas  Texas A amp M University Commerce is the third largest in the system  I,NONE,neutral
224, RT    Texas A amp M University system has 11 universities in Texas  Texas A amp M University Commerce is the third largest in the system  I,NONE,neutral
225, RT    Texas A amp M University system has 11 universities in Texas  Texas A amp M University Commerce is the third largest in the system  I,NONE,neutral
226, RT   squad  Enterprise blockchain firm Insolar with Canada s Toronto and Region Conservation Authority  TRCA  to pilot use cases for di,NONE,neutral
227, RT   75  Actually Prime Minister Trudeau   graduated from McGill University in 1994  and then the University of British Columbia i,NONE,neutral
228, RT    Texas A amp M University system has 11 universities in Texas  Texas A amp M University Commerce is the third largest in the system  I,NONE,neutral
229, RT   75  Actually Prime Minister Trudeau   graduated from McGill University in 1994  and then the University of British Columbia i,NONE,neutral
230, Five Toronto Star executives make 70 percent of projected media bailout money   The Post Millennial   News  Politic,NONE,neutral
231, RT    The idea of Basic Income has come up again in Canada  My niece advocated for it and helped research it a few years back whe,"advocated,helped",positive
232, RT    University of St  Thomas offers empty residence hall room to hospitals via      BeYourBoldSelf  WeAreCeltS,NONE,neutral
233, What if someone applied for  CERB without reading the eligibility criteria and found out later that they were not e,NONE,neutral
234, you are a yank  so of course you don t know we called it  grade 8 in Canada  You have a terrible ed,terrible,negative
235, RT    Texas A amp M University system has 11 universities in Texas  Texas A amp M University Commerce is the third largest in the system  I,NONE,neutral
236, RT    Texas A amp M University system has 11 universities in Texas  Texas A amp M University Commerce is the third largest in the system  I,NONE,neutral
237, RT    A lack of education can be as deadly as smoking  according to research from New York University,"lack,deadly",negative
238, The parti qu b cois would come to power 2 years later  triggering a referendum 4 years later  People s,NONE,neutral
239, RT    Canadians needing financial help to ride out the COVID 29 crisis can apply for a new benefit starting today  The CERB  or Ca,NONE,neutral
240, RT    Some luck is involved   but so is early preparation and leadership  argues a Toronto epidemiologist  COVID19  Coronavirus,luck,positive
241, RT    JUST IN    President Greg Fenves is leaving  UT for Emory University  according to multiple reports,NONE,neutral
242, RT      canada       That was Mr  Harper  too  They are amazingly picky about c,NONE,neutral
243, RT      Furness 2 2 Sorry but the non profit name and mission are exact copy fo the charity L Arche here in Toronto  Can,sorry,negative
244, RT    presentations for UG students of Ayurveda  Unani  Homeopathy  Naturopathy and Yoga streams  They may be accessed at the follow,NONE,neutral
245, RT    Some luck is involved   but so is early preparation and leadership  argues a Toronto epidemiologist  COVID19  Coronavirus,luck,positive
246, i don t think you have to be from there  not from there  or having never heard of City of Ottawa  Canada or ever kn,NONE,neutral
247, RT      We had 3 million masks that were stopped by U S  officials    we were able to get 500 000 N95 masks moving forward that shoul,NONE,neutral
248, RT    Blockchain in the university  a digital technology to design  implement  amp  manage global learning itineraries  Pablo Rivera Varg,NONE,neutral
249, RT    Extra ventilators arrive in Ontario hospital ICUs to aid COVID 19 patients   CBC News,NONE,neutral
250, Two  turtles having a chill day while they  stayathome in  toronto  canada     cabinfever set in today   so I went,chill,negative
251, RT    Government of Canada    has partnered with Philippine Airlines   for dedicated commercial flights from Manila to Va,dedicated,positive
252, RT    A lack of education can be as deadly as smoking  according to research from New York University,"lack,deadly",negative
253, He means Toronto when he says Canada,NONE,neutral
254, RT   squad  Enterprise blockchain firm Insolar with Canada s Toronto and Region Conservation Authority  TRCA  to pilot use cases for di,NONE,neutral
255, RT   75  Actually Prime Minister Trudeau   graduated from McGill University in 1994  and then the University of British Columbia i,NONE,neutral
256, RT    3M says it will continue to send its coveted N95 respirators to Canada after reaching an agreement with the White House to im,NONE,neutral
257, RT   5  Even in Canada there s no where Toronto  deeps,NONE,neutral
258, RT    JUST IN    President Greg Fenves is leaving  UT for Emory University  according to multiple reports,NONE,neutral
259, RT    JUST IN    President Greg Fenves is leaving  UT for Emory University  according to multiple reports,NONE,neutral
260, RT   75  Actually Prime Minister Trudeau   graduated from McGill University in 1994  and then the University of British Columbia i,NONE,neutral
261, RT    Texas A amp M University system has 11 universities in Texas  Texas A amp M University Commerce is the third largest in the system  I,NONE,neutral
262, RT    Texas A amp M University system has 11 universities in Texas  Texas A amp M University Commerce is the third largest in the system  I,NONE,neutral
263, RT    JUST IN    President Greg Fenves is leaving  UT for Emory University  according to multiple reports,NONE,neutral
264, RT    Texas A amp M University system has 11 universities in Texas  Texas A amp M University Commerce is the third largest in the system  I,NONE,neutral
265, RT   squad  Enterprise blockchain firm Insolar with Canada s Toronto and Region Conservation Authority  TRCA  to pilot use cases for di,NONE,neutral
266, RT   75  Actually Prime Minister Trudeau   graduated from McGill University in 1994  and then the University of British Columbia i,NONE,neutral
267, RT    Some luck is involved   but so is early preparation and leadership  argues a Toronto epidemiologist  COVID19  Coronavirus,luck,positive
268, RT    Extra ventilators arrive in Ontario hospital ICUs to aid COVID 19 patients   CBC News,NONE,neutral
269, RT   75  Actually Prime Minister Trudeau   graduated from McGill University in 1994  and then the University of British Columbia i,NONE,neutral
